1.1.1.10_16,rule0002_134
1.1.1.10_17,rule0003_125
1.1.1.10_18,rule0108_11
1.1.1.10_19,rule0108_11
1.1.1.10_20
1.1.1.10_21,rule0002_127
1.1.1.10_22,rule0002_080
1.1.1.10_23
1.1.1.10_24
1.1.1.10_25,rule0003_144
1.1.1.100_00,rule0002_005
1.1.1.100_01,rule0002_006
1.1.1.100_02,rule0002_003
1.1.1.100_03,rule0002_003
1.1.1.100_04,rule0002_003
1.1.1.100_05,rule0002_003
1.1.1.100_06,rule0002_003
1.1.1.100_07,rule0002_003
1.1.1.100_08,rule0002_005
1.1.1.100_09,rule0002_003
1.1.1.100_10,rule0002_003
1.1.1.100_11,rule0003_006
1.1.1.100_12,rule0003_006
1.1.1.100_13,rule0003_003
1.1.1.100_14,rule0003_003
1.1.1.100_15,rule0003_003
1.1.1.100_16,rule0003_003
1.1.1.100_17,rule0003_121
1.1.1.100_18,rule0002_094
1.1.1.100_19,rule0003_003
1.1.1.100_20,rule0003_003
1.1.1.100_21,rule0003_003
1.1.1.100_22,rule0003_165
1.1.1.100_23,rule0003_003
1.1.1.101_0,rule0002_068
1.1.1.101_1,rule0002_068
1.1.1.101_2,rule0003_089
1.1.1.101_3,rule0003_089
1.1.1.102_0,rule0002_088
1.1.1.102_1,rule0003_031
1.1.1.102_2,rule0003_031
1.1.1.102_3,rule0002_088
1.1.1.103_00,rule0003_128
1.1.1.103_01,rule0003_128
1.1.1.103_02,rule0002_119
1.1.1.103_03,rule0002_102
1.1.1.103_04,rule0003_128
1.1.1.103_05,rule0002_119
1.1.1.103_06,rule0003_128
1.1.1.103_07,rule0003_128
1.1.1.103_08,rule0002_119
1.1.1.103_09,rule0002_119
1.1.1.103_10,rule0002_140
1.1.1.103_11,rule0002_153
1.1.1.103_12
1.1.1.103_13,rule0003_176
1.1.1.103_14,rule0003_158
1.1.1.103_15
1.1.1.104_0
1.1.1.104_1
1.1.1.105_00,rule0003_027
1.1.1.105_01,rule0002_028
1.1.1.105_02,rule0003_027
1.1.1.105_03,rule0002_028
1.1.1.105_04,rule0002_139
1.1.1.105_05,rule0002_028
1.1.1.105_06,rule0003_164
1.1.1.105_07,rule0003_027
1.1.1.105_08,rule0002_028
1.1.1.105_09,rule0003_027
1.1.1.106_0,rule0003_092
1.1.1.106_1,rule0002_117
1.1.1.107_0,rule0108_06
1.1.1.107_1,rule0108_06
1.1.1.107_2
1.1.1.107_3
1.1.1.108_0,rule0003_067
1.1.1.108_1,rule0003_067
1.1.1.108_2,rule0002_065
1.1.1.108_3,rule0002_065
1.1.1.11_00,rule0002_080
1.1.1.11_01
1.1.1.11_02,rule0108_08
1.1.1.11_03
1.1.1.11_04,rule0003_084
1.1.1.11_05,rule0003_084
1.1.1.11_06,rule0002_051
1.1.1.11_07,rule0108_11
1.1.1.11_08,rule0108_11
1.1.1.11_09,rule0003_069
1.1.1.11_10,rule0002_153
1.1.1.11_11,rule0002_141
1.1.1.11_12,rule0002_080
1.1.1.11_13
1.1.1.11_14,rule0003_176
1.1.1.11_15,rule0003_168
1.1.1.110_00,rule0002_049
1.1.1.110_01,rule0002_049
1.1.1.110_02
1.1.1.110_03,rule0002_115
1.1.1.110_04,rule0003_136
1.1.1.110_05,rule0002_049
1.1.1.110_06,rule0003_053
1.1.1.110_07,rule0003_053
