rxn_id,reaction_balance_status,reaction_direction
|1.3.3.9-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-15283|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-16910|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|POLYAMINE-OXIDASE-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN1G-210|,|BALANCED|,|RIGHT-TO-LEFT|
|RXN-19192|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-12749|,|BALANCED|,|RIGHT-TO-LEFT|
|3.1.1.--RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-8223|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|1.2.7.4-RXN|,|BALANCED|,|REVERSIBLE|
|RXN-16750|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN66-513|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-19907|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-21609|,|BALANCED|,|PHYSIOL-RIGHT-TO-LEFT|
|RXN-19084|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|2.7.1.88-RXN|,|BALANCED|,
|RXN-18303|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-11364|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-15431|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-13039|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-22411|,|BALANCED|,|PHYSIOL-RIGHT-TO-LEFT|
|RXN-15777|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|FATTY-ACYL-COA-SYNTHASE-RXN|,|UNBALANCED-UNFIXABLE|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-12906|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-21656|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-19716|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|BETA-GLUCURONID-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-3642|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXNQT-4356|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN1G-1527|,|BALANCED|,|RIGHT-TO-LEFT|
|RXN-11192|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|TSA-REDUCT-RXN|,|BALANCED|,|RIGHT-TO-LEFT|
|RXN-14362|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-8692|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-12969|,|BALANCED|,|LEFT-TO-RIGHT|
|DHBDEHYD-RXN|,|BALANCED|,|LEFT-TO-RIGHT|
