cpd00001,|OH|,|OXONIUM|,|WATER|
cpd00224,|CPD-15699|,|L-ARABINOPYRANOSE|
cpd00225,|BENZALDEHYDE|
cpd00226,|HYPOXANTHINE|
cpd00227,|HOMO-SER|
cpd00228,|DITHIOTHREITOL|
cpd00229,|GLYCOLALDEHYDE|
cpd00231,|CPD-15159|
cpd00232,|N-ACETYLNEURAMINATE|
cpd00233,|CPD-14053|
cpd00234,|CPD-382|
cpd00235,|CPD-15979|,|MANNOSE-6P|
cpd00236,|ERYTHROSE-4P|
cpd00237,|ANDROST4ENE|
cpd00238,|D-SEDOHEPTULOSE-7-P|
cpd00239,|CPD-7046|,|CPD-846|,|HS|
cpd00240,|EDTA|
cpd00241,|DGTP|
cpd00242,|CO3|,|H2CO3|,|HCO3|
cpd00243
cpd00244,|NI+2|
cpd00245,|ANILINE|
cpd00246,|INOSINE|
cpd00247,|OROTATE|
cpd00248,|QUINATE|
cpd00249,|URIDINE|
cpd00250,|CREATINE|
cpd00251,|ADENOSINE_DIPHOSPHATE_RIBOSE|
cpd00253
cpd00254,|MG+2|
cpd00255
cpd00256,|CDP-CHOLINE|
cpd00257,|CANAVANINE|
cpd00258,|D-RIBULOSE|
cpd00259,|D-XYLULOSE|
cpd00260
cpd00261,|L-XYLULOSE|
cpd00262,|OXALYL-COA|
cpd00263,|PYRIDOXINE|
cpd00264,|SPERMIDINE|
cpd00265,|CPD-7043|
cpd00266,|CARNITINE|
cpd00267,|SPHINGOSINE|
cpd00268,|S2O3|
cpd00269,|2K-ADIPATE|
cpd00270,|CAFFEOYL-COA|
cpd00271,|CPD-10145|
cpd00272,|CPD-14072|
cpd00273
cpd00274,|L-CITRULLINE|
cpd00275,|CPD-14736|
cpd00276,|GLUCOSAMINE|
cpd00277,|DEOXYGUANOSINE|
cpd00278,|INDOLE_PYRUVATE|
cpd00279,|ACETOACETYL-COA|
cpd00280,|CPD-15633|,|D-GALACTURONATE|,|D-GALACTOPYRANURONATE|
cpd00281,|4-AMINO-BUTYRATE|
cpd00282,|DI-H-OROTATE|
cpd00283,|GERANYL-PP|
cpd00284,|CPD-2961|
cpd00285,|PHOSPHORYL-ETHANOLAMINE|
cpd00286,|UNDECAPRENYL-P|
cpd00287,|CPD-12179|
cpd00288,|D-GLUCOSAMINE-6-P|
cpd00289,|GERANYLGERANYL-PP|
cpd00290
cpd00291,|L-DIHYDROXY-PHENYLALANINE|
cpd00292,|3-HYDROXY-3-METHYL-GLUTARYL-COA|
cpd00293,|N-ACETYL-D-GLUCOSAMINE-6-P|
cpd00294,|DAMP|
cpd00295,|DGDP|
cpd00296,|DGMP|
cpd00297,|TDP|
cpd00298,|TMP|
cpd00299,|DUMP|
cpd00300,|CPD-15332|,|URATE|
cpd00301
cpd00302,|CPD-4210|
cpd00303
cpd00304,|RETINAL|
cpd00305,|THIAMINE|
cpd00306,|XYLITOL|
cpd00307,|CYTOSINE|
cpd00308,|MALONATE|
cpd00309,|XANTHINE|
cpd00310,|CARNOSINE|
cpd00311,|GUANOSINE|
cpd00312,|HISTAMINE|
cpd00313,|CPD-520|
cpd00314,|MANNITOL|
cpd00315,|GDP-D-GLUCOSE|
cpd00316
cpd00317,|CPD-14154|
cpd00318,|TRYPTAMINE|
cpd00319,|--MENTHOL|
cpd00320,|CPD-302|
cpd00321,|FERULOYL-COA|
cpd00322,|ILE|
cpd00323,|L-PIPECOLATE|
cpd00324,|CPD-7671|
cpd00325,|PROGESTERONE|
cpd00326,|SINAPOYL-COA|
cpd00327,|STEAROYL-COA|
cpd00328,|STREPTOMYCIN|
cpd00329,|CYCLOHEXANONE|
cpd00330,|DIHYDROFOLATE|
cpd00331,|CIS-ACONITATE|
cpd00332,|MEVALONATE|
cpd00333,|CPD-674|
cpd00334,|LACTALD|
cpd00335,|L-DEHYDRO-ASCORBATE|
cpd00336,|PROSTAGLANDIN-H2|
cpd00337,|DI-H-URACIL|
cpd00338,|5-AMINO-LEVULINATE|
cpd00339,|5-AMINOPENTANOATE|
cpd00340,|CPD-654|
cpd00341,|CPD-597|
cpd00342,|N-ALPHA-ACETYLORNITHINE|
cpd00343,|CARBAMYUL-L-ASPARTATE|
cpd00344,|N-FORMIMINO-L-GLUTAMATE|
cpd00345,|5-METHYL-THF|,|CPD0-2045|
cpd00346,|L-ASPARTATE-SEMIALDEHYDE|
cpd00347,|5-10-METHENYL-THF|
cpd00348,|GALACTOSE-1P|
cpd00349,|D-SEDOHEPTULOSE-1-7-P2|
cpd00350,|FARNESYL-PP|
cpd00351,|SACCHAROPINE|
cpd00352,|CPD-7682|
cpd00353,|THREO-DS-ISO-CITRATE|
cpd00354,|PURINE-RIBONUCLEOSIDES-5-PP|
cpd00355,|NICOTINAMIDE_NUCLEOTIDE|
cpd00356,|DCTP|
cpd00357,|TTP|
cpd00358,|DUTP|
cpd00359,|INDOLE|
cpd00360,|PURINE|
cpd00361,|ACETOIN|,|CPD-255|
cpd00362,|ESTRONE|
cpd00363,|ETOH|
cpd00364,|P-BENZOQUINONE|
cpd00365,|CPD-13524|
cpd00366,|RIBITOL|
cpd00367,|CYTIDINE|
cpd00368,|LYXOSE|
cpd00369,|ECDYSONE|
cpd00370
cpd00371,|CPD-665|
cpd00372,|PYRAZOLE|
cpd00373,|SINAPATE|
cpd00374,|TYRAMINE|
cpd00375
cpd00376,|BILIRUBIN|
cpd00378,|FORMAMIDE|
cpd00379,|GLUTARATE|
cpd00380,|ITACONATE|
cpd00381
cpd00382,|CPD-1099|
cpd00383,|SHIKIMATE|
cpd00384
cpd00385,|SULOCHRIN|
cpd00386,|CPD-660|
cpd00387,|ADP-D-GLUCOSE|
cpd00388,|ALLANTOATE|
cpd00389,|BILIVERDINE|
cpd00390,|CDP-D-GLUCOSE|
cpd00391,|CPD0-1198|
cpd00392,|ERYTHRITOL|
cpd00393,|CPD-12826|
cpd00394
cpd00395,|L-CYSTEATE|
cpd00396,|L-RHAMNOPYRANOSE|,|L-RHAMNOSE|
cpd00397,|L-RIBULOSE|
cpd00398,|NARINGENIN-CMPD|
cpd00399,|CPD-10278|
cpd00400,|ACRYLATE|
cpd00401,|BENZOYLCOA|
cpd00402,|CPD-606|
cpd00403,|D-MANNONATE|
cpd00404,|CPD-217|
cpd00405,|PALMITALDEHYDE|
cpd00406,|HYPOTAURINE|
cpd00407,|CPD-4886|
cpd00408,|L-PANTOATE|
cpd00409,|ANDROSTERONE|
cpd00410
cpd00411,|D-TRYPTOPHAN|
cpd00412,|DEOXYURIDINE|
cpd00413,|GLUTARYL-COA|
cpd00414
cpd00415,|HYDROQUINONE|
cpd00416,|CPD-1137|
cpd00417,|L-ARABITOL|
cpd00418,|NITRIC-OXIDE|
cpd00419,|PYRIDOXAMINE|
cpd00420,|TESTOSTERONE|
cpd00421,|P3I|
cpd00422,|CINNAMOYL-COA|
cpd00423,|CPD-1829|
cpd00424,|CPD0-1563|
cpd00425,|DIMETHYLAMINE|
cpd00426,|HOMOGENTISATE|
cpd00427,|CPD-1117|
cpd00428,|METHYL-GLYOXAL|
cpd00429,|NOREPINEPHRINE|
cpd00430
cpd00431,|N-ACYL-SPHINGOSYLPHOSPHORYLCHOLINE|
cpd00432,|MESO-TARTRATE|
cpd00433,|CPD-1905|
cpd00434,|4-AMINO-BUTYRALDEHYDE|
cpd00435,|BENZYL-ALCOHOL|
cpd00436,|CYCLOPENTANONE|
cpd00437,|D-TAGATURONATE|
cpd00438,|DEOXYADENOSINE|
cpd00439,|CPD-12702|
cpd00440,|CPD-9084|
cpd00441,|TRIMETHYLAMINE|
cpd00442,|3S-CITRYL-COA|
cpd00443,|P-AMINO-BENZOATE|
cpd00444,|CDP-ETHANOLAMINE|
cpd00445,|CPD-303|
cpd00446,|CAMP|
cpd00447,|BETAINE_ALDEHYDE|
cpd00448,|GLYCERALD|
cpd00449,|DIHYDROLIPOAMIDE|
cpd00450,|CPD-7670|
cpd00451,|GUANIDOACETIC_ACID|
cpd00452,|CPD-207|
cpd00453,|DL-12-PROPANEDIOL|
cpd00454,|5Z13E-15S-1115-DIHYDROXY-9-OXOPROS|
cpd00455,|2-DEOXY-D-GLUCOSE|
cpd00456,|3-HYDROXYBENZOATE|
cpd00457,|PHOSPHORYL-CHOLINE|
cpd00458,|CONIFERYL-ALCOHOL|
cpd00459
cpd00460,|SULFOACETALDEHYDE|
cpd00461,|CPD-6761|
cpd00463,|CPD-323|
cpd00464,|PHENYLACETALDEHYDE|
cpd00465,|CPD-1091|
cpd00466,|O-PHENANTHROLINE|
cpd00467,|3-SULFINOALANINE|
cpd00468
cpd00469,|BETA-D-GALACTOSYL-ETCETERA-GLUCOSAMINE|
cpd00470,|CPD-568|
cpd00471,|CPD-1822|
cpd00472,|UDP-D-GALACTURONATE|
cpd00473,|3-KETO-L-GULONATE|
cpd00474
cpd00475,|RIBOSE-1P|
cpd00477,|ACETYL-GLU|
cpd00478,|PYRIDOXINE-5P|
cpd00479,|CPD-633|
cpd00480,|CPD-377|
cpd00481,|ISOBUTYRYL-COA|
cpd00482,|2-PG|
cpd00483,|3-HYDROXY-ANTHRANILATE|
cpd00484,|4-HYDROXYBENZALDEHYDE|
cpd00485,|MANNOSE-1P|
cpd00486,|INDOLE_ACETALDEHYDE|
cpd00487,|ODD-STRAIGHT-CHAIN-234-SAT-FA|
cpd00488,|5Z13E-15S-9-ALPHA11-ALPHA15-TRIHY|
cpd00489,|4-HYDROXYPHENYLACETATE|
cpd00490
cpd00491,|D-SORBITOL-6-P|
cpd00492,|N-ACETYL-D-MANNOSAMINE|
cpd00493,|PYRIDOXAMINE-5P|
cpd00494,|CPD-12889|
cpd00495,|CPD-1774|
cpd00496,|CPD-356|
cpd00497,|XANTHOSINE-5-PHOSPHATE|
cpd00498,|2-ACETO-2-HYDROXY-BUTYRATE|
cpd00499,|ALPHA-GLUCOSE-16-BISPHOSPHATE|
cpd00501,|CPD-448|
cpd00502,|CPD-671|
cpd00503,|CPD-535|
cpd00504,|LL-DIAMINOPIMELATE|
cpd00506,|L-GAMMA-GLUTAMYLCYSTEINE|
cpd00507,|L-1-GLYCERO-PHOSPHORYLCHOLINE|
cpd00508,|2-KETO-3-METHYL-VALERATE|
cpd00509,|DEOXY-D-RIBOSE-1-PHOSPHATE|
cpd00510
cpd00511,|CPD-342|
cpd00512,|DEOXYNUCLEOSIDE-3-PHOSPHATE|,|DEOXY-RIBONUCLEOSIDE-3P|
cpd00513
cpd00514
