1.1.1.250-RXN,rule0003_084
1.1.1.250-RXN_reverse,rule0002_080
RXN-15048,rule0003_009
RXN-15048_reverse,rule0002_007
RXN-17584,rule0279_2
RXN-17584_reverse,rule0280_1
RXN-12632
RXN-12632_reverse
L-GULONOLACTONE-OXIDASE-RXN,rule0078_02
L-GULONOLACTONE-OXIDASE-RXN_reverse,rule0074_04
RXN-15547,rule0030_16
RXN-15547_reverse,rule0031_5
3.1.4.11-RXN,rule0006_145,rule0604_2
3.1.4.11-RXN_reverse,rule0007_018,rule0125_5
RXN-8801,rule0169_1,rule0191_1
RXN-8801_reverse,rule0168_3
RETINAL-DEHYDROGENASE-RXN,rule0026_01
RETINAL-DEHYDROGENASE-RXN_reverse,rule0025_02
RXN-12198
RXN-12198_reverse
6-CARBOXYHEXANOATE--COA-LIGASE-RXN,rule0038_4
6-CARBOXYHEXANOATE--COA-LIGASE-RXN_reverse,rule0039_08
PERILLYL-ALCOHOL-DEHYDROGENASE-RXN,rule0003_177
PERILLYL-ALCOHOL-DEHYDROGENASE-RXN_reverse,rule0002_154
2.1.1.109-RXN,rule0010_33
2.1.1.109-RXN_reverse,rule0011_34
RXN-9304,rule0309_2
RXN-9304_reverse,rule0288_2
RXN-15088,rule0006_098,rule0006_108
RXN-15088_reverse,rule0007_133,rule0007_143
RXN-5062,rule0001_13
RXN-5062_reverse,rule0001_28
RXN-12682,rule0072_1
RXN-12682_reverse
RXN-15588,rule0047_1
RXN-15588_reverse,rule0048_5
RXN-10779
RXN-10779_reverse
RXN0-5410,rule0002_136
RXN0-5410_reverse,rule0003_154
RXN-18466
RXN-18466_reverse
RXN-16061,rule0347_1
RXN-16061_reverse,rule0348_1
6.4.1.6-RXN
6.4.1.6-RXN_reverse
RXN-16526,rule0114_2
RXN-16526_reverse
2.1.1.16-RXN,rule0545_2
2.1.1.16-RXN_reverse
CARBOXYCYCLOHEXADIENYL-DEHYDRATASE-RXN
CARBOXYCYCLOHEXADIENYL-DEHYDRATASE-RXN_reverse
RXN-9840,rule0018_13
RXN-9840_reverse,rule0027_10
RXN-5242,rule0072_6
RXN-5242_reverse,rule0073_5
RXN-7694,rule0003_153
RXN-7694_reverse,rule0002_140
RXN-13155,rule0052_1,rule0052_2
RXN-13155_reverse,rule0054_1
RXN-11220,rule0115_1
RXN-11220_reverse,rule0116_2
RXN-10830,rule0028_38
RXN-10830_reverse
RXN-15174,rule0057_1
RXN-15174_reverse,rule0058_2
FARNESYL-DIPHOSPHATE-KINASE-RXN,rule0014_02
FARNESYL-DIPHOSPHATE-KINASE-RXN_reverse
RXN-16095,rule0003_003
RXN-16095_reverse,rule0002_003
RXN-13665
RXN-13665_reverse
RXN-14076
RXN-14076_reverse
RXN-16566,rule0003_009
RXN-16566_reverse,rule0002_007
CELLOBIOSE-PHOSPHORYLASE-RXN,rule0097_1
CELLOBIOSE-PHOSPHORYLASE-RXN_reverse,rule0096_5
THIOL-S-METHYLTRANSFERASE-RXN,rule0199_6
THIOL-S-METHYLTRANSFERASE-RXN_reverse
2.7.8.19-RXN,rule0029_5
2.7.8.19-RXN_reverse,rule0029_2
RXN-17057,rule0005_18
RXN-17057_reverse
RXN-7760,rule0001_17
RXN-7760_reverse,rule0001_28
RXN-14589
RXN-14589_reverse
RXN-17093
RXN-17093_reverse
3.6.3.6-RXN
3.6.3.6-RXN_reverse
+-SABINOL-DEHYDROGENASE-RXN,rule0003_111
+-SABINOL-DEHYDROGENASE-RXN_reverse,rule0002_108
RXN-11261
RXN-11261_reverse
RXN-17528
RXN-17528_reverse
FORMYLASPARTATE-DEFORMYLASE-RXN,rule0012_251
FORMYLASPARTATE-DEFORMYLASE-RXN_reverse,rule0013_50
ISOHEXENYLGLUTACONYL-COA-HYDRATASE-RXN,rule0020_02,rule0020_17
ISOHEXENYLGLUTACONYL-COA-HYDRATASE-RXN_reverse,rule0019_08
RXN66-356,rule0005_16
RXN66-356_reverse,rule0004_06
RXN-8747,rule0006_151,rule0124_32
RXN-8747_reverse,rule0007_176,rule0125_5
RXN-14114
RXN-14114_reverse,rule0028_20,rule0130_1
RXN-12135,rule0005_53
RXN-12135_reverse,rule0004_13
RXN-11710,rule0014_27
RXN-11710_reverse,rule0015_33
ORNITHINE-N-BENZOYLTRANSFERASE-RXN
ORNITHINE-N-BENZOYLTRANSFERASE-RXN_reverse
TRANS-EPOXYSUCCINATE-HYDROLASE-RXN,rule0035_8
TRANS-EPOXYSUCCINATE-HYDROLASE-RXN_reverse
RXN-9220,rule0046_7
RXN-9220_reverse,rule0043_06
